No.,Client,Project,QT No.,Preriod,Project Type,P&L Type,BD,Revenue 2023,Total Cost 2023, Revenue Total Project,Cost Total Project,progress,Amount Margin,(%) 
99,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Apr 2023,QT22070092.4,1-30 April 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17138.49,24300.00,17138.49,100.00,7161.51,29.47
100,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. May 2023 (QT22070092.5),QT22070092.5,1-31 May 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17157.86,24300.00,17157.86,100.00,7142.14,29.39
101,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Jun 2023,QT22070092.6,1-30 June 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17578.50,24300.00,17578.50,100.00,6721.50,27.66
102,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Jul 2023,QT22070092.7,1 - 31 July 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17896.03,24300.00,17896.03,100.00,6403.97,26.35
103,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Aug 2023,QT22070092.8,1-31 Aug 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17593.50,24300.00,17593.50,100.00,6706.50,27.6
104,บริษัท ครีม (ประเทศไทย) จำกัด,Warehouse ACD 2023 _ 150 SQM. Sep 2023,QT22070092.9,1-30 Sep 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,24300.00,17643.91,24300.00,17643.91,100.00,6656.09,27.39
105, International Operations SA Singapore Branch,Downy Sampling Kit Mock Up for PH Electrolux (QT22070098.4),QT22070098.4,15-พ.ค.-23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,12528.00,3500.00,12528.00,3500.00,100.00,9028.00,72.06
106,MN (Thailand) Ltd.,Enfa_Clinic Visibility_First 1000 days phase II (Jan23),QT22080008.5,1-31 Jan 2023,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,53031.97,49742.28,53031.97,49742.28,100.00,3289.69,6.2
107,MN (Thailand) Ltd.,Enfa_Clinic Visibility_First 1000 days phase II (Mar23),QT22080008.7,1-15 Mar 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,13188.04,12371.14,13188.04,12371.14,100.00,816.90,6.19
108,MN (Thailand) Ltd.,Enfa_Clinic Visibility_Project Best Start in life Phase II (Jan23),QT22080009.5,1-31 Jan 2023,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,179043.96,167783.40,179043.96,167783.40,100.00,11260.56,6.29
109,MN (Thailand) Ltd.,Enfa_Clinic Visibility_Project Best Start in life Phase II (Mar23),QT22080009.7,1-15  Mar 23,3.1 Key Account,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,9900.60,9278.34,9900.60,9278.34,100.00,622.26,6.29
110, Trading (Thailand) Ltd.,"Downy Packing & Delivery (7,500 Sets)",QT22080030,Sep  22 - Mar 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,-980.42,0.00,-980.42,0.00,100.00,-980.42,100
111, Trading (Thailand) Ltd.,"Downy FE & Detergent Packing (90,000 Sets) on Apr 23",QT22080030.1,31 Mar - 31 May 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,1111276.80,718903.97,1111276.80,718903.97,100.00,392372.83,35.31
112, Trading (Thailand) Ltd.,"Downy FE & Detergent Packing (90,000 Sets) on May 23 ",QT22080030.2,1 May - 2 June 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,237060.00,151379.07,237060.00,151379.07,100.00,85680.93,36.14
113, Trading (Thailand) Ltd.,"Downy FE & Detergent Packing (90,000 Sets) on Jun 23",QT22080030.3,1-30 June 23,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1A,237060.00,145404.00,237060.00,145404.00,100.00,91656.00,38.66
114,บริษัท ไทยคอร์ปอเรชั่น จำกัด,Coke Zero Sampling : Makro ,QT22080099,12 Nov 2022 - Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,102212.15,6813.31,725000.00,488311.54,100.00,236688.46,32.65
115,บริษัท เอ็น-ดี  จำกัด,NBD HEALTH CARE CVS MERCHANDISE JAN 23,QT22080119.3,1-31 Jan 2023,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2B,402796.24,330386.65,402796.24,330386.65,100.00,72409.59,17.98
116,บริษัท เอ็น-ดี  จำกัด,NBD HEALTH CARE CVS MERCHANDISE FEB 23,QT22080119.4,1 -28 Feb 2023,2.2 Merchandiser & RO,จัดเรียงสินค้า,BU2B,402796.24,299619.45,402796.24,299619.45,100.00,103176.79,25.62
117,บริษัท เอส มาร์เก็ตติ้ง จำกัด,Washington Booth Roadshow (UPC) on Jan-Feb 23,QT22080123.2,1 Jan - 28 Feb 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,496679.00,332245.03,496679.00,332245.03,100.00,164433.97,33.11
118, Trading (Thailand) Ltd.,BA DOWNY AT TT 48 STORES ON JAN 23,QT22090011.4,1-31 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,566464.99,490972.97,566464.99,490972.97,100.00,75492.02,13.33
119, Trading (Thailand) Ltd.,BA DOWNY AT TT 48 STORES ON FEB 23,QT22090011.5,1 -28 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,579685.90,442053.81,579685.90,442053.81,100.00,137632.09,23.74
120, Trading (Thailand) Ltd.,BA Downy @Makro 20 Stores Jan 23,QT22090012.4,1-31 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,371709.77,295893.97,371709.77,295893.97,100.00,75815.80,20.4
121, Trading (Thailand) Ltd.,BA Downy @Makro 20 Stores Feb 23,QT22090012.5,1 -28 Feb 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,380689.45,304848.42,380689.45,304848.42,100.00,75841.03,19.92
122, Trading (Thailand) Ltd.,BA Donwy at Bigc & Lotus's (Fri-Sat-Sun) Jan 23,QT22090013.4,1-31 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,152937.85,123915.88,152937.85,123915.88,100.00,29021.97,18.98
123,"BS (Thailand) Co., Ltd.",Bridgestone_WSP Event ,QT22090018.4,Oct 2022 - Feb 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,247838.89,58002.50,1305857.60,704531.71,100.00,601325.89,46.05
124,"BD (Thailand) Co.,Ltd",NIVEA Tie in December,QT22090026,Dec 22- Jan 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,79078.79,43689.77,155150.00,113448.27,100.00,41701.73,26.88
125,"BD (Thailand) Co.,Ltd",Eucerin Logistic Hospital ,QT22090058,Dec 2022 - Jan 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,39797.77,25249.29,90104.70,64133.79,100.00,25970.91,28.82
126,"BD (Thailand) Co.,Ltd",Eucerin Logistic Retail ,QT22090061,Dec 2022 - Jan 2023,1.3 Logistic,บรรจุและจัดส่งสินค้า,BU1B,107476.91,67169.00,224058.00,158984.06,100.00,65073.94,29.04
127, Trading (Thailand) Ltd.,Vicks Production Pillow,QT22090066,Oct  2022 - Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,2499.47,395.00,190269.00,163188.00,100.00,27081.00,14.23
128, Trading (Thailand) Ltd.,iliadin Pen Gift Set,QT22090069,Oct 2022 - Jan 2023,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,1346.45,0.00,40824.00,26593.00,100.00,14231.00,34.86
129,บริษัท ซีซี เทรดดิ้ง (ไทยแลนด์) จำกัด,PC SINO FESITVE Y JAN 23,QT22090089.4,1-10 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,92290.00,69575.63,92290.00,69575.63,100.00,22714.37,24.61
130,บริษัท รังนก เทรดดิ้ง จำกัด,PC SCOTCH FESTIVEE Y 2022-2023 (S&Son),QT22090090,Nov2022 - 8 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,95581.92,101096.85,524382.88,433353.29,100.00,91029.59,17.36
131,บริษัท ชินชิน จํากัด ,PC SCOTCH FESTIVE Y 2022-2023 (Sheen),QT22090091,1 Dec 2022 - 8 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,132475.56,163542.20,735238.84,632130.79,100.00,103108.05,14.02
132,บริษัท เจ้าคุณ อินดัสทรี จำกัด (มหาชน),Chao Sua Merchandise share on Jan 23,QT22100002.3,1-31 Jan 2023,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2B,151928.80,183766.32,151928.80,183766.32,100.00,-31837.52,-20.96
133,KG Corporation Public Company Limited,KCG PC Cheer Festive 2022,QT22100004,Nov 2022 - 9 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2B,71375.70,38052.49,1000000.00,685972.22,100.00,314027.78,31.4
134,MC (Thailand) Limited.,Mandom Merchandising share (Jan 2023),QT22100018.1,1-31 Jan 2023,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,221304.60,178975.24,221304.60,178975.24,100.00,42329.36,19.13
135,MC (Thailand) Limited.,Mandom Merchandising share (Oct 2023),QT22100018.10,1-30 Oct 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,256091.00,212623.21,256091.00,212623.21,100.00,43467.79,16.97
136,MC (Thailand) Limited.,Mandom Merchandising share (Nov 2023),QT22100018.11,1-30 Nov 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,243589.37,192718.91,243589.37,192718.91,100.00,50870.46,20.88
137,MC (Thailand) Limited.,Mandom Merchandising share (Dec 2023),QT22100018.12,1-31 Dec 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,232710.50,183774.60,232710.50,183774.60,100.00,48935.90,21.03
138,MC (Thailand) Limited.,Mandom  Merchandising Share on Feb 23,QT22100018.2,1 -28 Feb 2023,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,239442.50,208590.34,239442.50,208590.34,100.00,30852.16,12.88
139,MC (Thailand) Limited.,Mandom  Merchandising Share on  Mar 23,QT22100018.3,1-31 Mar 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,238741.25,226144.61,238741.25,226144.61,100.00,12596.64,5.28
140,MC (Thailand) Limited.,Mandom Merchandising share on April 23,QT22100018.4,1-30 April 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,243820.50,219293.00,243820.50,219293.00,100.00,24527.50,10.06
141,MC (Thailand) Limited.,Mandom  Merchandising Share on May 23,QT22100018.5,1-31 May 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,251827.40,225105.68,251827.40,225105.68,100.00,26721.72,10.61
142,MC (Thailand) Limited.,Mandom Merchandising share (Jun 2023),QT22100018.6,1-30 June 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,256058.00,226320.88,256058.00,226320.88,100.00,29737.12,11.61
143,MC (Thailand) Limited.,Mandom Merchandising share on July 23,QT22100018.7,1-31 July 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,255039.40,226123.99,255039.40,226123.99,100.00,28915.41,11.34
144,MC (Thailand) Limited.,Mandom Merchandising share (Aug 2023),QT22100018.8,1-31 Aug 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,248128.77,215553.16,248128.77,215553.16,100.00,32575.61,13.13
145,MC (Thailand) Limited.,Mandom Merchandising share (Sep 2023),QT22100018.9,1-30 Sep 23,2.3 Merchandiser&RO Share service,จัดเรียงสินค้า,BU2A,245314.29,223925.54,245314.29,223925.54,100.00,21388.75,8.72
146,บริษัท ไทยคอร์ปอเรชั่น จำกัด,Coke Zero Sampling (Makro Additional),QT22100032,Dec 22-30 April  23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,46578.37,3000.00,55000.00,9575.00,100.00,45425.00,82.59
147,บริษัท ที (ไทยแลนด์) จำกัด,Tyson Mascost  Kai Pun Suk,QT22100096,28 Nov 22 - 31 Jan 23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,28385.84,23730.00,47300.00,39925.00,100.00,7375.00,15.59
148, Trading (Thailand) Ltd.,P&G Monofilament Packing (Additional),QT22100099,24-ม.ค.-23,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,5347.58,584.00,23112.00,12298.41,100.00,10813.59,46.79
149,บริษัท ที (ไทยแลนด์) จำกัด, Angpao envelops (Tyson and First Pride),QT22110004,Dec 2022 - Jan 2023,1.2 Event,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1B,14673.46,0.00,36630.00,15345.00,100.00,21285.00,58.11
150,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-31 Jan 2023),QT22110007.1,Dec 2022- Jan 2023,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,717067.36,616089.85,719105.15,617880.03,100.00,101225.12,14.08
151,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-31 Oct 2023),QT22110007.10,30 Sep -31 Oct 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,222277.90,193208.47,222277.90,193208.47,100.00,29069.43,13.08
152,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-30 Nov 2023),QT22110007.11,31 Oct - 30 Nov 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,214243.27,196344.61,214243.27,196344.61,100.00,17898.66,8.35
153,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-31 Dec 2023),QT22110007.12,Nov -Dec 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,223524.71,209397.89,223524.71,209397.89,100.00,14126.82,6.32
154,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-28 Feb 2023),QT22110007.2,31 Jan -28 Feb 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,810185.30,712636.77,810185.30,712636.77,100.00,97548.53,12.04
155,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-31 Mar 2023),QT22110007.3,28 Feb - 31 Mar 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,744258.42,624564.99,744258.42,624564.99,100.00,119693.43,16.08
156,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-30 Apr 2023),QT22110007.4,31 Mar - 30 Apr 2023,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,246943.28,226381.02,246943.28,226381.02,100.00,20562.26,8.33
157,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-31 May 2023),QT22110007.5,30 April - 31 May 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,257731.06,220443.78,257731.06,220443.78,100.00,37287.28,14.47
158,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-30 JUN 2023),QT22110007.6,31 May - 30 June 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,248844.16,216050.74,248844.16,216050.74,100.00,32793.42,13.18
159,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-31 JUL 2023),QT22110007.7,30 June  31 July 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,228254.94,200353.23,228254.94,200353.23,100.00,27901.71,12.22
160,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-31 AUG 2023),QT22110007.8,31 July - 31 Aug 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,203443.26,180330.00,203443.26,180330.00,100.00,23113.26,11.36
161,บริษัท ยือยือ (ไทยแลนด์) จำกัด,PC SUNNY BABY AT TT (1-30 Sep 2023),QT22110007.9,31 Aug - 30 Sep 23,3.3 Key Account,พนักงานแนะนำสินค้า,BU2A,214004.29,185960.28,214004.29,185960.28,100.00,28044.01,13.1
162, Trading (Thailand) Ltd.,Downy Booth FC 7-11 Conference,QT22110026,30 Nov 22- 2 Feb 23,1.1 Booth & Roadshow,จัดกิจกรรมทางการตลาดและดิจิทัล,BU1A,34921.47,3750.00,96012.00,48688.30,100.00,47323.70,49.29
163,S.C. & Son Ltd.,S C Johnson PC CHEER CHAINESE NEW YEAR 2023,QT22110038.1,19-29 Jan 2023,2.1 PG & BA,พนักงานแนะนำสินค้า,BU2A,1683815.40,1043419.30,1683815.40,1043419.30,100.00,640396.10,38.03
